8057129828574	8057122062558	15874988048765,15875035627901
7965850927326	4860515123338	(empty)
4778870014090	4859041775754,8051745259742	(empty)
4859041775754	4778870014090,8051745259742	(empty)
8051745259742	4778870014090,4859041775754	(empty)
7981935395038	-	8015156281566,4778981163146
4746332536970	8164185735390,4743994507402,8664074092766,8475372093662,14933921005949	8340562575582
4389326848138	4746057318538,4531290308746,4387578052746,4743052132490,6949632147606	4531290308746,4389479284874
4778845208714	4859764048010,4778555932810	4716677398666,4782908407946
4787039174794	5981652025494	8318625874142
4860515123338	7965850927326	(empty)
7965893394654	15875098476925,15874988048765,15876383474045	15292213887357
4778555932810	4859764048010,4778845208714,4782908407946	4716677398666
14933939028349	8165632671966,4743994507402,8664074092766,8475372093662	8339286589662
7710439211230	7710682874078,7710738055390	7710224023774,7873518272734,7710569038046
7710224023774	6124508610710,7431737540830,7710714364126,7710743789790	7710439211230,7710569038046,7873518272734
14933921005949	8359141114078,7965862789342,4743994507402,8664074092766,8475372093662	8339286589662
7431737540830	8057116360926,8057122062558	7431781908702,6949632147606
8475372093662	4743994507402,8664074092766,14933921005949,8359141114078	7965862789342
15292115681661	8475372093662,8475364720862	15292121252221
15292121252221	8475372093662,8475364720862	15292115681661
8335793094878	8335793094878,8336009691358,8336127918302,8165164024030	8164795875550,8164783325406
14945262076285	8335793094878,8336009691358,8336127918302,8165164024030	8164795875550,8164783325406
14945278787965	8335793094878,8336009691358,8336127918302,8165164024030	8164795875550,8164783325406
8336009691358	8335793094878,8336009691358,8336127918302,8165164024030	8164795875550,8164783325406
14945289634173	8335793094878,8336009691358,8336127918302,8165164024030	8164795875550,8164783325406
8336127918302	8335793094878,8336009691358,8336127918302,8165164024030	8164795875550,8164783325406
14947684811133	8164171219166,8163479683294,8163575726302,8164172824798,14947802481021	8164178198750
8165634080990	7855614230750,7873518272734,7710439211230	7855633891550,7855668691166
14947821093245	8164171219166,8163479683294,8163575726302,8164172824798,14947802481021	8164178198750
8165164024030	8335793094878,8336009691358,8336127918302	8335793094878,8336009691358,8336127918302
8164805705950	4746057318538,4389326848138,7855578972382	8164819337438
8164819337438	8164783325406,8164795875550,8336127918302,14945262076285,14945380335997	8164805705950
8163575726302	8164171219166,8163479683294,8164172824798,14947802481021	8164178198750
14947802481021	8164171219166,8163479683294,8163575726302,8164172824798	8164178198750
14945380335997	8335793094878,8336009691358,8336127918302,8165164024030	8164795875550,8164783325406
